Operator 1,Operator 2,Torsion (Signed),Torsion (Absolute),Locations,Normalized
Meta,Meta,1.0,1.0,895,0.012054034397769666
Braid,Non,-1.0,1.0,38,0.0005117914045980417
Ana,Braid,1.0,1.0,1,1.3468194857843203e-05
Braid,Telo,-1.0,1.0,4,5.387277943137281e-05
Para,Pro,1.0,1.0,111,0.0014949696292205956
Ana,Non,1.0,1.0,90,0.0012121375372058883
Braid,Pro,-1.0,1.0,25,0.00033670487144608007
Braid,Para,-1.0,1.0,7,9.427736400490242e-05
Pro,Telo,-1.0,1.0,29,0.00039057765087745287
Meta,Pro,0.6699999999999999,0.6699999999999999,387,0.00521219140998532
Ana,Meta,0.6699999999999999,0.6699999999999999,155,0.0020875702029656963
Para,Para,0.33,0.33,229,0.0030842166224460937
Non,Para,-0.33,0.33,75,0.0010101146143382403
Ana,Para,-0.33,0.33,61,0.0008215598863284354
Pro,Pro,0.33,0.33,642,0.008646581098735336
Non,Telo,-0.33,0.33,37,0.0004983232097401985
Meta,Non,-0.13,0.13,352,0.004740804589960807
Meta,Telo,0.07900000000000007,0.07900000000000007,402,0.005414214332852968
